Dataset,Model,Feature,Metric,Diff
Pilot,BR,Leeftijd<40,Pred_P,-28.405797101449277
Pilot,BR,Leeftijd<50,Pred_P,-29.729729729729737
Pilot,BR,geslacht,Pred_P,10.027472527472531
Prepilot,AR,IsFulltimeParent,Pred_P,-8.767696267696264
Prepilot,AR,IsNederlands,Pred_P,30.00347826086959
Prepilot,AR,IsParttimeParent,Pred_P,
Prepilot,AR,IsWesters,Pred_P,-7.00690954773869
Prepilot,AR,Leeftijd<30,Pred_P,-1.4795899207630758
Prepilot,AR,Leeftijd<40,Pred_P,-23.93779111076024
Prepilot,AR,Leeftijd<50,Pred_P,-19.868876343106894
Prepilot,AR,geslacht,Pred_P,-3.052995391705062
Prepilot,BR,IsFulltimeParent,Pred_P,-12.447309695016118
Prepilot,BR,IsNederlands,Pred_P,53.35342229875162
Prepilot,BR,IsParttimeParent,Pred_P,
Prepilot,BR,IsWesters,Pred_P,39.682706727354024
Prepilot,BR,Leeftijd<30,Pred_P,-9.96918441416146
Prepilot,BR,Leeftijd<40,Pred_P,-23.952139763635024
Prepilot,BR,Leeftijd<50,Pred_P,-21.193357725865454
Prepilot,BR,geslacht,Pred_P,-5.110424028268542
TrainTest,AR,IsFulltimeParent,Pred_P,-44.185499212269
TrainTest,AR,IsNederlands,Pred_P,-2.567754277819101
TrainTest,AR,IsParttimeParent,Pred_P,-100.0
TrainTest,AR,IsWesters,Pred_P,-15.300436530202447
TrainTest,AR,Leeftijd<30,Pred_P,-29.412922284265207
TrainTest,AR,Leeftijd<40,Pred_P,-25.7182897195942
TrainTest,AR,Leeftijd<50,Pred_P,-46.19110853423607
TrainTest,AR,geslacht,Pred_P,-11.90037813545564
TrainTest,BR,IsFulltimeParent,Pred_P,-50.101466792008
TrainTest,BR,IsNederlands,Pred_P,-0.8392679911545855
TrainTest,BR,IsParttimeParent,Pred_P,20.27034513323361
TrainTest,BR,IsWesters,Pred_P,-18.082038427373714
TrainTest,BR,Leeftijd<30,Pred_P,-26.407684540712733
TrainTest,BR,Leeftijd<40,Pred_P,-23.800266857231364
TrainTest,BR,Leeftijd<50,Pred_P,-29.288295004874694
TrainTest,BR,geslacht,Pred_P,-15.202366682818603
